ax-0,ay-0,ax-1,ay-1,ax-2,ay-2
-2.12E-07,0.000108875,0.001053319,-0.000365238,-0.000600916,-0.000614376
0.000175196,-0.000349791,0.000911471,-0.000210734,-9.00E-06,-0.000303425
-6.80E-05,-0.000243407,0.000525445,6.51E-05,4.47E-05,-0.000252504
-0.003304023,-0.013153446,0.012913388,0.005614707,-0.01317888,0.007133745
-0.006865278,-0.01880824,0.02098268,0.003476897,-0.01349992,0.015562864
-0.020773773,-0.01755562,0.025834777,-0.010367394,-0.004391995,0.026899578
-0.011751822,-0.013332677,0.017947606,-0.0045106,-0.005475831,0.017014729
-0.001533484,0.010564069,-0.009641288,-0.005212838,0.009021159,-0.005627038
-0.002304974,0.009988327,-0.00847113,-0.007093046,0.010439711,-0.002677251
-0.00427582,0.011036198,-0.007989675,-0.009414473,0.01216846,-0.001845355
-0.009926916,0.012958543,-0.006082617,-0.014913392,0.016396758,0.002170326
-1.00E-05,-0.00111369,-0.001261095,0.002158656,-0.0009198,-0.002354386
-7.21E-06,-0.000629695,-0.000141925,-8.25E-05,-0.000725484,-0.001024242
0.000257178,-0.000619029,-0.000408759,0.000381745,-0.000547964,-0.000506862
5.78E-05,-0.000456822,1.91E-05,1.10E-05,-0.000237866,-0.000165869
-0.000673398,-0.014240592,0.012046021,0.004999578,-0.010843405,0.007514558
-0.00849558,-0.019075397,0.019255199,0.004225736,-0.012852734,0.014796964
-0.021934898,-0.017039428,0.025209696,-0.008669391,-0.005015507,0.0261665
-0.012570393,-0.013009924,0.017001037,-0.003212956,-0.0059259,0.016114438
-0.000845505,0.010322719,-0.007794832,-0.006912593,0.010505122,-0.002853584
-0.003038236,0.01003355,-0.008015647,-0.007587896,0.010628898,-0.002443231
-0.004405152,0.011006759,-0.007375131,-0.009632567,0.012116599,-0.001806696
-0.010144816,0.012420746,-0.005806081,-0.014985976,0.016003548,0.002471373
0.000624617,-0.00021875,-0.000135929,0.00100268,0.000625993,-0.00107252
0.000971983,0.000116736,-0.000276642,0.000961708,0.000690376,-0.000543399
0.00044408,0.0002918,4.12E-05,0.000841957,0.000415587,-0.000536719
0.000127467,0.000328913,-0.000108186,0.000694458,0.000191429,-0.00025869
-0.002997711,-0.01321554,0.0118988,0.00432224,-0.010631125,0.009827471
-0.007191798,-0.018756807,0.019761089,0.003130385,-0.012097331,0.017008007
-0.02098488,-0.01770245,0.025724196,-0.00910165,-0.003960523,0.027519732
-0.011910824,-0.013283914,0.016896804,-0.003245357,-0.004961903,0.017559697
-0.001771934,0.010101655,-0.010476055,-0.004715334,0.009310818,-0.005043992
-0.002153484,0.009982263,-0.008102244,-0.00690972,0.010315796,-0.00358681
-0.003916596,0.011159691,-0.007657511,-0.009268153,0.012210356,-0.002363217
-0.009595327,0.013007806,-0.005888365,-0.014629864,0.01600276,0.002217437
0.001562488,-3.84E-05,-0.000189252,-0.001197167,-6.86E-05,0.000763139
0.000133194,-0.000563878,-9.27E-05,-5.37E-05,-0.000577972,-0.000305317
0.0003535,-0.000364261,0.000310984,-0.000542141,-0.000438346,-5.22E-05
0.000131432,-6.25E-05,0.000138452,0.000229512,-0.000414532,0.0001721
-0.002020805,-0.013001457,0.013689543,0.004543296,-0.010171162,0.008170635
-0.007245115,-0.018394838,0.020711647,0.002542841,-0.012923743,0.015006892
-0.020190854,-0.018130338,0.025715265,-0.010279667,-0.004737463,0.026231339
-0.017803111,-0.012189563,0.017766564,-0.004340528,-0.005755179,0.016366993
0.000619772,0.010814445,-0.008438357,-0.007858107,0.009608136,-0.004168902
-0.001446194,0.010693083,-0.007299107,-0.007796121,0.010141659,-0.003457123
-0.003363749,0.011594955,-0.007408578,-0.009468255,0.011895902,-0.001760791
-0.009734835,0.012585774,-0.006113272,-0.014850359,0.015912648,0.002571752
0.00092575,0.001223925,-0.001429931,0.001698967,0.000861626,0.002391185
0.000135899,0.000409597,-0.000661452,0.000900807,-1.65E-06,0.000161468
0.000353943,0.000342257,-0.000205027,0.000602829,-1.68E-05,0.000112961
-0.000132008,0.000106045,6.86E-05,3.93E-05,5.42E-05,0.000120634
-6.05E-05,-0.012795932,0.013137645,0.006043519,-0.010915241,0.009226455
-0.006526966,-0.01842477,0.020815909,0.001819629,-0.011918286,0.016278716
-0.019965292,-0.017440008,0.025967434,-0.010524179,-0.004866201,0.027596317
-0.011443675,-0.012996094,0.018026386,-0.004907471,-0.005122934,0.01674581
-0.002009767,0.009691172,-0.009260607,-0.006500303,0.009696489,-0.003858834
