ax-0,ay-0,omega-0,ax-1,ay-1,omega-1
-0.009816223,0.012605504,-0.006008588,-0.014238171,0.016048544,0.00205202
0.000362918,0.008497694,-0.007678498,-0.004438115,0.008273172,-0.004328847
-0.000962467,0.008688079,-0.007283991,-0.005873589,0.0090754,-0.00286968
-0.003323148,0.009879291,-0.007099234,-0.008482961,0.010460285,-0.002131091
-0.007299503,0.011446731,-0.006364521,-0.012474908,0.013743181,0.000559572
-0.00035813,0.006596878,-0.005159626,-0.004861091,0.006812667,-0.002722876
-0.00052496,0.007652515,-0.00588648,-0.005107846,0.007077564,-0.003027547
-0.001810046,0.008688883,-0.006219353,-0.006762592,0.0087787,-0.002057567
-0.005108037,0.010245459,-0.006475714,-0.00977797,0.011664329,-0.000867033
0.000649996,0.010774132,-0.008463618,-0.005894327,0.009931024,-0.003983652
-0.002180114,0.010424385,-0.008292499,-0.006965476,0.010528776,-0.003011737
-0.004117993,0.011545998,-0.008501735,-0.009105166,0.012486635,-0.001964208
-0.010034434,0.012442905,-0.006127156,-0.015089858,0.016497503,0.00246135
0.002233251,0.008574306,-0.0081788,-0.002851517,0.007573556,-0.003377422
-0.000709504,0.008719293,-0.007705247,-0.005310289,0.009045035,-0.00357798
-0.002440865,0.010218573,-0.007488894,-0.007862619,0.010709003,-0.002572602
-0.007196729,0.011526492,-0.006947474,-0.012121532,0.014397864,0.000567902
-0.000934797,0.006152569,-0.004756978,-0.004192242,0.006575256,-0.002626261
-0.000282797,0.007358708,-0.006338968,-0.004216614,0.007605279,-0.001744632
-0.002341262,0.008427154,-0.006146685,-0.006402752,0.009243885,-0.002184121
-0.005096795,0.010168428,-0.006392126,-0.009618983,0.012351226,-0.000513377
-0.000781645,0.009976835,-0.008105566,-0.006386438,0.010260134,-0.003419586
-0.003113015,0.010273316,-0.007705468,-0.007270821,0.010346193,-0.00350545
-0.00482083,0.011015837,-0.007592912,-0.009491338,0.012519646,-0.002323631
-0.009952408,0.01253765,-0.006081389,-0.015264103,0.016603347,0.002393087
0.000320542,0.008803994,-0.007156359,-0.003244232,0.00952053,-0.001483657
-0.001558399,0.009149657,-0.00689949,-0.00605367,0.009103496,-0.003065661
-0.00297817,0.010477632,-0.007013836,-0.008466696,0.010793188,-0.002199166
-0.007605164,0.011741751,-0.006348956,-0.012314069,0.014197418,0.000757322
0.001180593,0.006967587,-0.00571495,-0.004886105,0.006672906,-0.001636914
-0.000544016,0.007278877,-0.005572915,-0.005590637,0.007034265,-0.00286782
-0.001963032,0.008688757,-0.006403873,-0.006926101,0.008582341,-0.002400108
-0.005041604,0.010324372,-0.006428262,-0.010126957,0.011687818,-0.000615998
-0.00057841,0.010488717,-0.010830596,-0.004203116,0.009622209,-0.002860653
-0.002227717,0.010485329,-0.008166899,-0.007474664,0.010438549,-0.002288125
-0.004096213,0.011315982,-0.008439876,-0.009133123,0.012455083,-0.002129918
-0.009666256,0.012653585,-0.006594451,-0.014603136,0.016335595,0.002364403
-0.000668228,0.009114929,-0.008196359,-0.003264091,0.008073175,-0.004257133
-0.000935715,0.009495846,-0.007416605,-0.005625698,0.008699586,-0.002391343
-0.003591739,0.010136481,-0.00744228,-0.008017569,0.010747538,-0.002675305
-0.00760594,0.012218856,-0.006451497,-0.012087168,0.014264074,0.000586806
-0.002553279,0.006666751,-0.005468799,-0.003930136,0.005809473,-0.003646912
-0.001325636,0.007029905,-0.005388299,-0.005011837,0.007144324,-0.002752516
-0.002707758,0.008257525,-0.006388243,-0.006220944,0.008778564,-0.002671183
-0.004858789,0.010527035,-0.006051193,-0.009504138,0.011767235,-0.001010571
-0.001646742,0.011311539,-0.009060811,-0.006363751,0.010825069,-0.003296794
